,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
0,66145.27405809281,180.24015933720585,20.646839981986183,614.6022642010569,6.791420006014051e+27,250244374.77673736,87.54684477247726,124.11252321752188,156040.58223323504,583522026.2373601,1116552377.0396028,-2145.6719352464597,67240.96,0.20234486892819198,168.13008144150527,72.94294990434042,-0.5699693440975179,2.038249408664828,-3.2930017907086926,-0.6763354853911088,-0.5270640296771052,0.7201584707033072,-1.5522838994604846,1914678089.4836483,9824.634522061573,62.3877111451021,-1.1100828845691213,-0.03644848382526811,0.35979365354688114,64349887085.13687,120.87827040074289,1771.4152876498183,-0.5731341861652633,6.647109860575958,11286.411866562958,22.87854429238007
1,31625.50558576644,110.95054549478955,17.41884220496175,347.82881080430866,5.843663781142959e+26,73206176.52161808,48.08920229115032,60.819184075383106,71252.15164409067,210362965.33869526,280493913.3436787,-2452.3454398207705,26763.26,0.07345244242655737,53.283835188460436,31.348190849313845,-0.8327556326532987,1.4960538258482368,-3.4344655733463583,-0.8916005824413561,-1.0868437977159664,-0.42996837158180085,-1.8486704474043154,26882203.041305855,4981.599584734374,40.844043993796454,-1.2910441995390491,-0.3759450688448188,0.2673968694970372,30172304454.06465,53.85430007379559,1007.3238624269544,-0.7718963525645209,2.7370192236569952,9063.595336558774,11.817329225542613
2,15088.143602035358,42.42092254119644,13.51537036583324,192.0940522428514,3.242897042933354e+24,26103469.65337368,33.4699476764795,35.80624043456031,39703.46965711644,73891857.97795825,121415074.98418786,-2691.23969454045,12187.68,0.04071386907753001,17.08987109406211,21.78166531543385,-1.478318735981982,1.0951533200404442,-3.5555667474497468,-1.5551363587006424,-1.8291758740869444,-0.7459958320139415,-2.1084469775990584,59426.62225485391,2237.1750719036345,27.537769713179454,-1.3783946503028972,-0.5652484083284538,0.18892918916361057,13739342045.890074,23.95101977659889,526.2715327137403,-0.8570161184235228,0.8237594187784054,8086.977160683957,6.63774327933563
3,7585.878022058232,26.05140091184264,10.923974176858469,119.87911123313876,1.4904487413381077e+20,11237092.533911256,23.805531115839145,17.039113740060642,29448.346701254297,22987254.961627923,33437167.21768712,-2828.9118553893722,7106.96,0.025502180371081505,13.847489406356251,17.15049877838779,-2.0387253689949243,0.7518359838841744,-3.6357763008082533,-2.0825109985070065,-2.323406846802257,-0.8861099344491908,-2.2701327846444173,1793.5032661648186,1148.1760439875216,19.12659988387868,-1.496047439746366,-0.6945843112145985,0.124810567533153,7225977751.137226,6.386422906165084,244.51034023976226,-0.8959634223454651,-0.36301562568766316,7592.795166319771,4.250575631462371
4,3725.7759290749336,15.148112637914215,9.1699045793339,63.65543954651269,1.4568798868637894e+17,3335568.924206619,16.974666805504455,9.412294193302262,14050.03462645213,9070021.519499104,8010870.961751815,-2977.696112700961,5044.02,0.01805447080923942,8.496126119899627,15.330971280845127,-2.455290002128872,0.6270447878367206,-3.6933010171460303,-2.705929146290253,-2.795584911020125,-0.9422280511740112,-2.416700724872902,922.6201545585033,567.0424845986495,15.516747822888453,-1.5663095781210385,-0.7822313309626466,0.10070958982077252,2817413764.157667,2.2914927906188005,122.03266728251018,-0.9190919812939471,-1.2618043374834054,7265.54984978299,3.273836572918371
5,2567.1605071010636,9.35629066098777,6.944144394584796,40.90140781774156,1.456773155201022e+17,1243836.95663746,12.086225838988195,3.5554322207401996,9429.540799670249,1114531.8588290906,1894985.7819685608,-3056.596863439429,3266.52,0.014480848571241479,7.464008882817792,12.291989392939234,-2.9203584772395383,0.5597047949111834,-3.723605046024458,-3.0833078702252674,-3.331575354402134,-0.9905667160176147,-2.5794475066077407,135.63713602010583,192.19731575852677,11.649860101001968,-1.6139665405151886,-0.8427635932887196,0.07940438613696496,1706621661.9816086,1.530547496814865,59.251303314341776,-0.9289791713569673,-1.623044398618003,7106.758815350132,2.5534861083677685
6,1431.369531219487,6.74537164681275,5.863728439353049,21.572384171315242,1879876062.1465704,426050.30067375145,8.776876678090293,1.5947145057368544,5917.024995532103,379819.19056272134,1074945.0281033597,-3120.1862124898594,767.9,0.011089751062667783,6.920298243292292,10.460785244554213,-3.4401536894570284,0.5322437528092444,-3.7558864498400313,-3.4260071317457323,-3.7010120287507213,-1.0052815194761804,-2.6689152412295116,97.89602994719117,130.2560274595564,8.267115526070587,-1.6518535710746696,-0.8676609642919605,0.05825691450963243,597111987.3952028,0.8903277687425595,16.60468401312624,-0.9372863113997465,-2.0372314151010262,6915.749294575491,1.612663171505041
7,828.5804465712994,4.902386124924463,4.593355688174981,17.15371279320711,35274.58429722654,62157.1731050281,6.27212609303351,1.1073630723098695,3382.3597101774994,21796.272022330486,770535.5825772551,-3238.205118190726,487.14,0.007711535674282097,6.491424095081568,8.827510476774448,-3.7307641187486253,0.5039668311163187,-3.7691728283285433,-3.71264028902613,-4.101292217559219,-1.009972886191297,-2.740401764710344,52.69564508281266,78.07954033607481,6.067002387873812,-1.6899229012878965,-0.9029200336433506,0.039929955922953335,274065253.5147579,0.5664259441654362,7.608788019257093,-0.9505250900703159,-2.32787283240302,6654.840637507822,1.3117722665066465
8,399.36851702720924,2.617887056428753,3.823152128578475,15.034648593138549,12.97810832470462,31779.785272686902,4.843838002436559,0.38000660292376504,1467.664828526968,18316.822674181567,766492.2462698759,-3304.927741597097,320.04,0.007101971025236544,6.131970908904865,7.923754788970643,-4.154806122210702,0.4757630308085147,-3.782421289720036,-3.8455423429698965,-4.2489119736275995,-1.0194569337726052,-2.8171692904494257,39.998185375076375,51.433488469347054,4.066955805621323,-1.718571530676297,-0.924322965066847,0.02636413371086503,179922291.39177763,0.4113588179826394,3.190946089388861,-0.9604527224463061,-2.454038999297067,6504.630082031948,1.218478348529869
9,270.6324625990633,0.9723731650768098,3.124674361169529,5.97627384392711,9.453083081755,4221.416674070643,3.5439481065592076,0.3611626552875629,926.9955366789752,18313.94450300138,258293.36234940737,-3462.2105508766977,233.8,0.006528169387103188,5.335266875752248,6.6739932384267675,-4.482849719269615,0.46457110534362406,-3.789452531673155,-4.114091096892873,-4.530118188616565,-1.0233689681869595,-2.8751472087804677,19.225026177170623,28.337365755040345,2.922299819434759,-1.7357154211658405,-0.9603044290260502,0.02134483064778636,101594630.5149109,0.140722713053259,2.0454115014235374,-0.9617320142427718,-2.6829084403426964,6299.762855107685,1.101690569568253
