,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,0.0,0.0,4.440892098500626e-16,0.0,3.425081583073146e-193,24.103448127262578,8.336077846938706e-192,0.00010412098626830346,0.0,3.551910436409995e-06,2.5602825586630935,-10005.171647117548,0.0,0.0004356822223106422,1.2558979511687527,2.9999999999999214,-6.686558352972976,0.3978873577297378,-3.8627821478207527,-6.515388980973416,-6.686558352972976,-1.031628453489878,-3.2744379230562783,7.76e-322,0.0,4.997549369062223e-195,-1.8013034100985548,-1.0,0.0024558581714964056,0.0,0.0,0.0,-1.0,-3.0,0.0024314452018326083,1.4799671145875225e-06
std,0.0,0.0,0.0,0.0,0.0,0.6134177911005372,0.0,6.572934775670074e-05,0.0,7.143966804249547e-06,0.9412757762159423,1447.8597645296381,0.0,0.00031773164896421377,0.6814646870355396,1.4183071981462902e-15,2.378096330480681,3.3306690738754696e-16,3.041930048216505e-15,2.326320334091987,2.378096330480681,2.64596684292084e-16,0.05824549623212124,0.0,0.0,0.0,1.1102230246251565e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038281646977993806,2.10865702806096e-06
worst,0.0,0.0,4.440892098500626e-16,0.0,1.4286806466405433e-191,25.99597950491868,4.1596480101961696e-190,0.0003045152675111362,0.0,3.723735981209967e-05,2.966080887915428,-6698.663374224728,0.0,0.0012231733771272987,3.968250105568161,2.9999999999999254,-5.055197728932867,0.39788735772973816,-3.8627821478207554,-5.0876717236289055,-5.055197728932867,-1.0316284534898776,-3.2031020502643277,3.88e-320,0.0,1.0848377972111783e-193,-1.8013034100985537,-1.0,0.0024558581714964056,0.0,0.0,0.0,-1.0,-3.0,0.021876729964245896,1.0391446356886798e-05
best,0.0,0.0,4.440892098500626e-16,0.0,1.9899152963500585e-209,22.669301965726017,1.0323120979365178e-205,1.3321082131907977e-06,0.0,1.0730084250390116e-07,0.00036765604775123526,-11977.290698787903,0.0,0.0003074859878056047,0.9980038377944498,2.9999999999999196,-10.15319967905823,0.39788735772973816,-3.862782147820756,-10.402915336777747,-10.15319967905823,-1.0316284534898779,-3.3219951715842426,0.0,0.0,1.4554524272209314e-210,-1.8013034100985537,-1.0,0.0024558581714964056,0.0,0.0,0.0,-1.0,-3.0,7.802753154104747e-05,2.3271704638279947e-08
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.5745888423919677,0.5767000532150268,0.6061824083328247,0.6011815071105957,0.5827170944213867,0.5916892385482788,0.5787567329406739,0.6137890911102295,0.584059419631958,0.6931764030456543,0.6679546070098877,0.5906360101699829,0.5820222473144532,1.0550086832046508,1.1418211030960084,0.586296796798706,0.6294760847091675,0.5627399826049805,0.6175041961669921,0.659344334602356,0.6311858129501343,0.5678676748275757,0.6235332536697388,0.6048451900482178,0.5817188739776611,0.5919220733642578,0.5759700584411621,0.5728802442550659,0.5604327249526978,0.5827807331085205,0.5581631183624267,0.5934148645401001,0.5597463703155517,0.5925514125823974,0.5845145750045776,0.6447496271133423
